No,BookCode,BookName,BookAuthor,Publication,Domain
159,HD-ES-004,Internet of Everything,Yogesh P. Pingle,TechKnowledge Publications,Electronic Devices and Circuits
160,HD-ES-005,Microcontrollers and Embedded Systems,Harish G. Narula,Tech-Max,Electronic Devices and Circuits
161,HD-ES-006,Embedded Systems and Robots,Subrata Ghoshal,Cengage,Electronic Devices and Circuits
162,HDI-IP-007,Introduction to Digital Image Processing with Matlab,Alasdair McAndrew,Cengage Learning,Digital Image Processing
163,HD-DLDA-006,Digital Electronics And Microprocessors,R.P. Jain,Tata McGrawHill,Digital Logic Design and Applications
164,HD-MPMC-001,Assembly Language Programming,Lance Leventhal,McGrawHill Education,Microprocessors
165,HD-MPMC-0010,The Pentium Processor,James L. Antonakos,Pearson Education,Microprocessors
166,HD-MPMC-0011,8086 Microprocessors,Hema Dalal,Nandu Publication,Microprocessors
167,HD-MPMC-0012,Microprocessor-II,A. P. Godse,Technical Publication Pune,Microprocessors
168,HD-MPMC-0013,Microprocessors and Interfacing,Doughlas V Hall,Tata McGraw Hill Publication,Microprocessors
169,HD-MPMC-0015,Peter Norton's Assembly Language Book For The IBM PC,Peter Norton,Eastern Economy Edition,Microprocessors
170,HD-MPMC-003,Tandem Concepts,TCS Services,TCS Services,Microprocessors
171,HD-MPMC-005,Microcomputer Systems:The 8086/8088 Family,Yu-cheng Liu,PHI Publications,Microprocessors
172,HD-MPMC-007,Microprocessors And Interfacing,Douglas V Hall,The McGrawHill Companies,Microprocessors
173,HD-MPMC-0071,Strucutred Cobol,Doughlas V Hall,Tata McGraw Hill Publication,Microprocessors
174,HD-MPMC-008,Micropr,John Uffenback,Prentice Hall India Publication,Microprocessors
175,IM-ADB-001,Advance Databases,IT DEPT.,IT DEPT.,Database Management System
176,IM-ADB-002,Advanced Database Management System,M.A. Ansari,Tech Max Publications,Database Management System
177,IM-ADB-00301,Advance Data Management Technologies,Mahesh Mali,TechKnowledge Publication,Database Management System
178,IM-AI-017,More than 500 Solved Problems,Prof Joshi,Kinnari Prakashan Publication,Database Management System
179,IM-DBT-00201,Database system concepts,"Henry F. Korth & S, Sudarshan",Mcgraw Hill International edition,Database Management System
180,IM-DBT-0021,Database System Concepts,Silberschatz Korth Sudarshan,McGrawHill Education,Database Management System
181,IM-DBT-00301,Fundamentals of Database Systems,Ramez Elmasri and Shamkanth B. Navathe,Pearson Publication,Database Management System
182,IM-DBT-004,An Introduction to Database Systems,C.J Date,Pearson Education,Database Management System
183,IM-DBT-006,Database Management Systems,G.K. Gupta,McGraw Hill Education,Database Management System
184,IM-DBT-00801,Advanced Database Management Systems,Prof. Mahesh Mali,Tech Max Publication,Database Management System
185,IM-DBT-009,Database Systems,Thomas Connolly,Pearson Education,Database Management System
186,IM-DBT-014,Professional SQL Server 7.0,Frank Miller & Rachelle Reese,wrox publication,Database Management System
187,IM-DBT-015,Realtional Database Management system for MS-Dos,Microsoft,Microsoft FOXPRO,Database Management System
188,IM-DBT-016,Microsoft Fox Pro RDBMS,Microsoft Fox Pro,Microsoft Fox Pro,Database Management System
189,IM-DWM-00101,"Modern Data Warehousing Mining,and Visualization",George M. Marakas,Pearson,Datawarehouse and Mining
190,IM-DWM-002,Buisness Intelligence A Managerial Approach,Efraim Turban and Ramesh Sharda,Pearson Publication,Datawarehouse and Mining
191,IM-DWM-00301,Data Warehousing and Mining,Mrs. Arti Deshpande,TechMax Publication,Datawarehouse and Mining
192,IM-DWM-004,Data Mining,Ian H. Witten and Eibe Frank,Elsevier,Datawarehouse and Mining
193,IM-DWM-005,Building The Data Warehouse,William H. Inmon,Wiley dreamtech,Datawarehouse and Mining
194,IM-DWM-008,Big Data Analytics,Radha Shankarmani,Wiley,Datawarehouse and Mining
195,IM-DWM-010,Big Data Management and Analytics,Nitin Upadhyay,Cengage,Datawarehouse and Mining
196,IM-GUIDB-003,GUI And Database Management,Jimit Shah,Nandu Publication,Database Management System
197,IM-GUIDB-006,The Essential Guide to User Interface Design,Wilbert O. Galitz,Wiley India Edition,Database Management System
198,IM-ISMDR-006,Information Security Principles and Practices,Mark Merkow and Jim Breithaupt,BPB Publication,Information Security
199,IM-ISMDR-007,Information Storage and Management,"G. Somasundaram, Alok Shrivastava",Wiley Publications,Information Security
200,IR-OOAD-0142,Object Oriented Analysis and Design,Jaya G. Muthreja & Pallavi S. Kulkarni,Nandu publication,Object Oriented Analysis and  Design
201,IR-OOAD-017,ASP.NET 4.5 in Simple Steps,Kogent Learning Solutions,dreamtech Press,Object Oriented Analysis and  Design
202,IS-AI-003,Artificial Intelligence a Guide to Intelligent Systems,Micheal Negnevitsky,Pearson Education,Arrtifical Intellgence
203,IS-AI-0041,"Genetic Algorithms in Search, Optimization and Machine Learning",David E. Goldberg,Pearson Education,Arrtifical Intellgence
204,IS-AI-005,Artificial Intelligence,Elaine Rich,McGrawHill International Editions,Arrtifical Intellgence
205,IS-AI-006,Artificial Intelligence and Expert System,Dan W. Patterson,PHI Learning Private Limited,Arrtifical Intellgence
206,IS-AI-0091,Artificial Intelligence a Modern Approach,Stuart Russell & Peter Norvig,Pearson,Arrtifical Intellgence
207,IS-AI-0092,Artificial Intelligence A Modern Approach,Stuart Russel Peter Norvig,Pearson,Arrtifical Intellgence
208,IS-AI-011,A First Course in Artificial Intelligence,Deepak Khemani,McGraw Hill Education,Arrtifical Intellgence
209,IS-AI-0111,Intelligent System,Prof Purva Raut,Techmax Publication,Arrtifical Intellgence
210,IS-AI-017,Machine Learning with Python An Approach to Applied Machine Learning,Abhishek Vijayvargia,BPB Publication,Arrtifical Intellgence
211,IS-EGOV-001,Information Technology and E-Governance,N.Gopalasamy,New Age International Publishers,E-Governance
212,IS-NNFS-002,Fuzzy Logic With Engineering Applications,Timothy J.Ross,Wiley,Arrtifical Intellgence
213,IS-NNFS-004,Soft Computing,Dipali Y. Koshti,TechMax Publications,Arrtifical Intellgence
214,IS-ERPCRM-001,Customer Relationship Management,Ed Peelen,Pearson Education,Enterprise Resource Planning
215,IS-ERPCRM-002,A Business Guide to Customer Relationship Management,Jill Dyche,Pearson Education,Enterprise Resource Planning
216,IS-ERPCRM-003,Enterprise Resource Planning,Mary Summer,Pearson Education,Enterprise Resource Planning
217,IS-ERPCRM-004,Enterprise Resource Planning Concepts and Practice,Vinod Kumar Garg and N. K. Venkitkrishnan,Prentice Hall India Publication,Enterprise Resource Planning
218,IS-ERPCRM-006,The Implementers' Guide to Success with Enterprise Resource Planning,Thomas F. Wallace and Michael H. Kremzar,Wiley Publication,Enterprise Resource Planning
219,IS-ERPCRM-007,ERP Demystified,Rajesh Chedda Obaid Motiwala,Ane Books Pvt. Ltd.,Enterprise Resource Planning
220,IS-ERPCRM-010,Entrepreneurship and E-Business,Dipali Y. Koshti Monali Shetty,Technowledge Publications,Enterprise Resource Planning
221,IS-GIS-001,An Introduction To Geographical Information Systems,Ian Heywood,Pearson Education,Geographical Information Systems
222,IS-GIS-002,Fundamentals of Geographic Information Systems,Michael N. DeMers,Wiley Student Edition,Geographical Information Systems
223,IS-GIS-003,Geographical Information Systems,Tor Berhardsen,Wiley Publication,Geographical Information Systems
224,IS-GIS-004,Concepts And Techniques Of Geographic Information Systems,C.P. Lo Albert K.W. Yeung,PHI publishing,Geographical Information Systems
225,IS-MEC-002,E-Business 2.0,Dr. Ravi Kalakota,Pearson Education,Management Information Systems
226,IS-MEC-006,Web Security & Commerce,Simson Garfinkel,O`Reilly,Management Information Systems
227,IS-MEC-007,Mobile Computing Simplified,Nitesh Bansal,Nandu,Management Information Systems
228,IS-MEC-008,Programming for Mobile & Remote Computer,Tulshiram J. Sule,Techmax Publication,Management Information Systems
229,IS-MEC-010,Mobile Communications,Jochen Schiller,Pearson Education,Management Information Systems
230,IS-MPPS-001,"Manufacturing Processes, Planning and Systems",Sanjay B. Ghaskatta,Tech-Max Publications,Management Information Systems
231,IS-MIS-001,Information Technology for Management,EFRAIN TURBAN,Wiley India Edition,Management Information Systems
232,IS-MIS-003,Management Information Systems,W S Jawadekar,McGraw Hill Education,Management Information Systems
233,IS-MIS-004,Planning For Information Systems,William R. King,PHI publication,Management Information Systems
234,IS-MIS-005,Analysis and Design of Information Systems,James A. Senn,McGraw Hill Publication,Management Information Systems
235,IS-MIS-006,Technology Systems and Management,Ketan Shah,Springer publication,Management Information Systems
236,ITR-OOAD-001,Object Oriented Modelling and Design,James Rumbaugh & Michael Blaha,PHI Publication,Object Oriented Analysis and  Design
237,ITR-OOAD-002,Object Oriented Modelling And Design,S.D.Joshi,Technical Education Publication,Object Oriented Analysis and  Design
238,ITR-OOAD-005,IBM,Department Of Information Technology,IBM,Object Oriented Analysis and  Design
239,ITR-OOAD-0141,Object Oriented Analysis And Design,Jaya G. Muthreja,Nandu Publication,Object Oriented Analysis and  Design
240,ITR-OOAD-015,Object Technology A manager's Guide,David A. Taylor,Addison Wesley,Object Oriented Analysis and  Design
241,ITR-OOAD-021,UML Distilled,Booch & Jacobson & Rumbaugh,Pearson Education,Object Oriented Analysis and  Design
242,ITR-OOAD-022,The Unified Software Development Process,Booch & Jacobson,Pearson Education,Object Oriented Analysis and  Design
243,ITR-OOAD-025,Object Oriented Analysis and Design Using UML,D Jeya Mala and S Geetha,McGraw Hill Publication,Object Oriented Analysis and  Design
244,ITR-SA-002,Software Architecture,Richard N. Taylor,Wiley India Edition,Software Architecture
245,ITR-SOA-001,Service Orientated Architecture,Shankar Kambhampaty,Wiley India,Software Architecture
246,ITR-SOA-002,Applied SOA,Michael Rosen,Wiley India Edition,Software Architecture
247,ITR-ST-00101,Software Testing Principles and Approach,Srinivasan Desikan and Gopalaswamy Ramesh,Pearson Publication,Software Testing
248,ITR-ST-003,Software Testing Principles and Practices,Naresh Chauhan,Oxford Publication,Software Testing
249,ITR-ST-00301,Communication Networks,Indra Wi,Oxford Publication,Software Testing
250,ITR-SE-002,MCSD: Analyzing Requirements and Defining Solution Architecture Study Guide,Ben Ezzell,BPB Publication,Software Testing
251,ITR-SE-0033,Software Engineering A Practitioner's Approach,Roger S. Pressman,McGraw Hill Publication,Software Engineering
252,ITR-SE-004,Software Engineering,Rishabh Dave and Sandeep Patel,Nandu Publication,Software Engineering
253,ITR-SE-005,An Integrated Approach to Software Engineering,Pankaj Jalote,Narosa Publishing House,Software Engineering
254,ITR-SE-0051,Wireless Communications and Networks 3G and Beyond,Pankaj Jalote,Narosa Publishing House,Software Engineering
255,ITR-SE-006,Object Oriented Software Engineering,Timothy C. Lethbridge,Tata McGrawHill Edition,Software Engineering
256,ITR-SE-007,Software Engineering Principles and Practices,Rohit Khurana,Vikas Publication,Software Engineering
257,ITR-SE-008,Software Engineering Fundamentals,Ali Behforooz and Frederick J. Hudson,Oxford Publication,Software Engineering
258,ITR-SE-014,Software Engineering for Internet Applications,Eve Andersson and Philip Greenspun,Prentice Hall India Publication,Software Engineering
259,ITR-SE-016,Software Engineering A Concise Study,S. A. Kelkar,Prentice Hall India Publication,Software Engineering
260,ITR-SQA-001,Software Quality Assurance,Daniel Galib,Pearson Education,Software Quality Assurance
261,ITR-SQA-003,Software Testing Quality and Assurance,Kshirasagar Nair and Priyadarshi Tripathy,Wiley Publication,Software Quality Assurance
262,ITR-SQA-005,Software Testing and Quality Assurance,Kshirasagar Naik,Wiley India,Software Quality Assurance
263,ITR-SPM-001,Software Project Management,Bob Hughes & Mike Cotterell,Tata McGraw Hill,Software Project Management
264,ITR-SPM-003,Agile Project Management,Jim Highsmith,Pearson Education,Software Project Management
265,ITR-SPM-004,Effective Software Project Management,Robert K. Wysocki,Wiley India,Software Project Management
266,ITR-SPM-0041,Effective Project Management,Dr. Robert K. Wysocki,Wiley India Publication,Software Project Management
267,ITR-SPM-005,"Project Management: A Systems Approach to Planning, Schefuling, and Controllng",Harold Kerzner,Wiley,Software Project Management
268,ITR-SPM-007,Project Management,Gido I Clements,Cengage Learning,Software Project Management
269,ITR-SPM-0091,"Information Systems Project Management Methods, Tools and Techniques",John McManus Trevor Wood-Harper,Pearson Education,Software Project Management
270,ITR-SPM-010,Project Management in IT,Kathy Schwalbe,Cengage Publication,Software Project Management
271,ITR-SPM-017,IT Project Management,Joseph Phillips,McGraw Hill Publication,Software Project Management
272,JNL-IRPH,International Journal of Information & Computation Technology,P. V. S. Srinivas,International Research Publication House,Information and Computation Technology
273,M-003,Advances in Instrumentaion,V M Joshi & K R Gopalakrishnan,Tata McGraw hill,Gate and Mathematics
274,M-004,Quantitative Aptitude (Fully Solved),R.S. Aggarwal,S. Chand And Company Ltd.,Gate and Mathematics
275,M-006,Computer Science Catalogue 2007-08,Thomson Solutions,Thomson Solutions,Gate and Mathematics
276,M-007,"CS, CE &IT Catalogue 2009",Ankit Fadia,PHI Publication,Gate and Mathematics
277,M-019,GATE Computer Science and Information Technology,D. P. Nagpal,S. Chand Publication,Gate and Mathematics
278,M-12,More than 500 Solved Problems Mathematics,Prof Joshi,Kinnari Prakashan Publication,Gate and Mathematics
279,M-15,GATE-SLP CS/IT Module 1,GATE-SLP,Vidyalankar,Gate and Mathematics
280,M-24,Computer Science & IT PSUs,Made easy Publication,Made easy Publication,Gate and Mathematics
281,M-25,IT Interview Guide for Freshers,Sameer S. Paradkar,BPB Publications,Gate and Mathematics
282,M-26,MS Office 2019,Wallance Wang,dummies,Gate and Mathematics
283,M-27,SCWCD,Hanumant Deshmukh & Jignesh Malavia,Dreamtech Press,Gate and Mathematics
284,M-28,Investment Banking,Jung B. Lee & Tom Lott,Vault,Gate and Mathematics
285,M-29,Computer Essentials MS-CIT,Timothy J. Oleary & Linda I. Oleary,Tata McGraw Hill Publication,Gate and Mathematics
286,M-30,Read Well Think Well,Hal W. Lanse,Adams Media,Gate and Mathematics
287,M-31,IELTS General Practice Tests,Andrew Betsis & Lawrence Mamas,GlobalIELT,Gate and Mathematics
288,M-33,IELTS 12 General Training,Cambridge University Press,Cambridge University Press,Gate and Mathematics
289,M-34,GATE Module - 3 Programming Methodology,B Govindarajau,Vidyalankar Publication,Gate and Mathematics
290,M-44,Engineering Thermodynamics,P K Nag,Tata McGraw Hill Education,Gate and Mathematics
291,M-45,Material Technology,Sunil Desphande & Gautam Narwade,TechMax Publications,Gate and Mathematics
292,M-46,The teacher's Inspirational Handbook,Dr Elaine Ann Charles,Insight Books,Gate and Mathematics
293,M-47,IELTS Essential Guide,British Council Ielts,British Council IELTS,Gate and Mathematics
294,M-48,ACE the IELTS Writing,Excel academy,Excel academy,Gate and Mathematics
295,M-48-01,ACE the IELTS Reading,Excel academy,Excel academy,Gate and Mathematics
296,M-49,IELTS 11,Cambridge University Press,Cambridge University Press,Gate and Mathematics
297,M-50,WordStar for Docs Companion Programs,WordStar,WordStar,Gate and Mathematics
298,M-51,WordStar for Docs,WordStar,WordStar,Gate and Mathematics
299,M-53,IELTS 12,Cambridge University Press,Cambridge University Press,Gate and Mathematics
300,M-54,Engineering Drawing,N. H. Dubey,Nandu Publication,Gate and Mathematics
301,M-55,Production Process-II,Anup Goel,Technical Publication,Gate and Mathematics
302,M-63,Financial Accounting and Management of Technology Innovation,Y. R. Thorat and Dr. CA Y. R. Waghmare,Tech-Max Publication,Gate and Mathematics
303,M-65,Reliability Engineering,Singiresu S. Rao,Pearson Publication,Gate and Mathematics
304,M-70,The Beginner's Guide to Access 95,Alex Homer,Wrox Press Ltd.,Gate and Mathematics
305,M-71,"All About Monitors Introduction, Troubleshooting and Upgrading with Introduction to Computer",Manahar Lotia and Pradeep Nair,BPB Publication,Gate and Mathematics
306,MFA-CM-001,Programming in Scilab 4.1,Vinu V Das,New Age International Publishers,Mathematics
307,MFA-CM-002,Numerical Methods for Engineers,Steven C.Chapra,Tata McGraw-Hill,Mathematics
308,MFA-CM-003,Applied Mathematics,B.M.Patel,Nirali Prakashan,Mathematics
309,MFA-CM-005,Introductory Methods of Numerical Analysis,S.S.Sastry,Prentice Hall of India,Mathematics
310,MFA-CM-006,Probability and Statistics for Engineers,Richard A. Johnson,PHI Learning Private Limited,Mathematics
311,MFA-DSGT-0010,Operating System,Kenneth H. Rosen,Tata McGrawHill Edition,Mathematics
312,MFA-DSGT-0012,Discrete Structure and Graph Theory,Vinaya M. Rawool and Bhakti C. Raul,Ce Publication,Mathematics
313,MFA-DSGT-002,Discrete Mathematics,Richard Johnsonbaugh,Pearson Education,Mathematics
314,MFA-DSGT-003,Discrete Mathematical Structures with Applications to Computer Science,J. P. Tremblay,McGraw Hill Education,Mathematics
315,MFA-DSGT-004,INTERNET & JAVA PROGRAMMING,R.Krishnamoorthy & S.Prabhu,NEW AGE INTERNATIONAL,Mathematics
316,MFA-DSGT-005,Discrete Mathematical Structures,Kolman & Busby & Ross,Pearson Education,Mathematics
317,MFA-DSGT-007,Elements of Discrete Mathematics,C.L.Lin,Tata McGraw-Hill,Mathematics
318,MFA-DSGT-008,Mathematics and Its Application with Combinatorics and Graph Theory,Kenneth H Rosen,McGraw Hill Publication,Mathematics
319,MFA-DSGT-00901,DISCRETE MATHEMATICS,seymor lipschuts & marc lars lipson,Tata McGraw-Hill,Mathematics
320,MFA-NM-001,Numerical Methods,R.M.Baphana,Technova,Mathematics
321,MFA-NM-002,Numerical Methods and Linear Programming,G.K.Ranganath,S. Chand and Company LTD.,Mathematics
322,MFA-SM-001,Discrete-Event System Simulation,Jerry Banks,Prentice-Hall of India,Simulation
323,MFA-SM-002,Discrete Event System Simulation,Jerry Banks & John S. Carson,Pearson Education,Simulation
324,MFA-SM-003,System Modeling and Simulation,V P Singh,New Age International Publication,Simulation
325,MFA-SM-004,Computer Simulation and Modeling,Abhijit R. Joshi,Vipul Prakashan,Simulation
326,MFA-SM-006,Simulation Modeling and Analysis,Averill M Law,McGraw-Hill Publication,Simulation
327,NC-001,National Conference on EC2IT,Department Of Information Technology,Somaiya Trust,Computer Networks
328,NC-INS-001,MCSA/MCSE Windows Server 2003 Network Security Administration,Russ Kaufmann & Bill English,BPB publications,Computer Networks
329,NC-INS-00101,MCSE Windows Server 2003 Network Security Design,Brian Reisman,BPB Publications,Computer Networks
330,NC-CN,Understanding Communications And Networks,William A. Shay,Thomson Learning,Computer Networks
331,NC-CN-002,Computer Networks And Communication,Vilas Bagad,Technical Publications,Computer Networks
332,NC-CN-003,"Practical Guide To Networking with UNIX, DOS And Windows",P.K. Roy,Wheeler Publishing,Computer Networks
333,NC-CN-005,Computer Networks,A. S. Tanenbaum,Premtice Hall India Publication,Computer Networks
334,NC-CN-006,Computer Network,V.S. Bagad,Technical Publications,Computer Networks
335,NC-CN-007,Data And Computer Communications,William Stallings,PHI Publications,Computer Networks
336,NC-CN-0071,Data And Conputer Communications,William Stallings,PHI Publication,Computer Networks
337,NC-CN-008,Network Analysis with Applications,William D. Stanley,Pearson Publications,Computer Networks
338,NC-CN-010,An Engineering Approach to Computer Networking,S. Keshav,Pearson,Computer Networks
339,NC-CN-011,Computer Networking With Internet Protocols And Technology,William Stallings,Pearson Education,Computer Networks
340,NC-CN-012,Convergence Of Technologies And Networking In Communication,J.S. Katre,TechMax Publications,Computer Networks
341,NC-CN-01301,Computer Network and Network Design,J. S. Katre and Monali Shetty,TechKnowledge Publication,Computer Networks
342,NC-CN-015,Data Communications and Networking 5E,Behrouz A. Forouzan,McGraw Hill Education,Computer Networks
343,NC-CN-01501,Network Analysis and Synthesis,Behrouz A. Forouzan,Tata McGraw-Hill Publication,Computer Networks
344,NC-CN-017,Fundamentals of Wireless Networking,Ron Price,Tata McGraw Hill Publication,Computer Networks
345,NC-PCE-004,ISDN and Broadband ISDN with Frame Relay and ATM,William Stallings,Pearson,Computer Networks
346,NC-DS-00101,Distributed Systems Principles and Paradigms,Andrew S. Tanenbaum,Pearson Education,Distributed Systems
347,NC-DS-002,Middleware and Enterprise Integration Technologies,G. Sudha Sadasivam,Wiley-India,Distributed Systems
348,NC-DS-003,COM and CORBA Side by Side,Jason Pritchard,Pearson,Distributed Systems
349,NC-DS-005,Distrubuted Operating Systems,Pradeep K. Sinha,PHI Publications,Distributed Systems
350,NC-DS-006,Parallel and Distributed Systems,Arun Kulkarni,Wiley Publications,Distributed Systems
351,NC-DS-008,Distributed,Iresh A. Dhotre,Technical Publication,Distributed Systems
352,NC-NTDD-001,Networking Technology,V.S.Bagad,Technical Publications,Network Technology
353,NC-NTDD-002,Networking Technology for Digital Devices,J. S. Katre,Techmax Publication,Network Technology
354,NC-NTDD-003,Networking Technology For Digital Devices Simplified,Sushil Chandiramani,Nandu Publications,Network Technology
355,NC-IS-001,Encryption,Ankit Fadia and Jaya Bhattacharjee,Vikas Publishing,Cryptography
356,NC-IS-003,"Information Theory,Coding and Cryptography",Ranjan Bose,McGraw Hill Publication,Cryptography
357,NC-IS-005,System and Web Security,Vilas S. Bagad,Nirali Prakashan,Cryptography
358,NC-IS-007,Cryptography and Network Security,Behrouz A. Forouzan,Special Indian Edition,Cryptography
359,NC-MC-001,Mobile Communication And Computing,Dipali Y. Koshti,TechMax Publications,Mobile Computing
360,NC-MC-002,Mobile Computing,Raj Kamal,Oxford Higher Education,Mobile Computing
361,NC-MC-004,Programming For Mobile and Remote Computers,G.T Thampi,dream tech press,Mobile Computing
362,NC-PC-001,Communication Systems,A. Bruce Carlson,McGrawHill International Editions,Communication Systems
363,NC-PCE-002,Principles Of Digital Communication,J.S Katre,TechMax Publications,Communication Systems
364,NC-PCE-003,Antenna and Wave Propagation,Samdeep Wali,TechMax Publications,Communication Systems
365,NC-PCE-005,Principles of Communication Engineering,J. S. Katre,Tech-Max Publication,Communication Systems
366,NC-WM-011,Wireless Technology,U. S. Shah,TechMax Publication,Communication Systems
367,NC-WN-001,Wireless and Mobile Network Architectures,Yi-Bang Lin,Wiley India,Communication Systems
368,NC-WN-003,Wireless Communications,Theodore S. Rappaport,Pearson Education,Communication Systems
369,NC-WN-004,Basics of wireless Communications,PHI Publication,PHI Publication,Communication Systems
370,NC-WN-006,3G Wireless Networks,Clint Smith & Daniel Collins,McGraw Hill Communication,Communication Systems
371,NC-WN-007,Wireless Communication,Upena Dalal,Oxford Publication,Communication Systems
372,NC-WN-008,Wireless And Mobile Communication,Sanjeev Kumar,New Age International Publishers,Communication Systems
373,NL-WH-002,Wireless Networks,P. Nicopolitidis and M. S. Obaidat,Wiley Publication,Communication Systems
374,NS-IS-003,Ethical Hacking and Forensics,Dr. Suvarna Shirke-Pansambal,TechKnowledge Publication,Cryptography
375,NS-IS-006,Security in Computing,Charles P. Pfleeger & Shari Lawrence Pfleeger,Pearson Education,Cryptography
376,NS-IS-008,Digital Forensic,Dr. Nilakshi Jain & Dr Dhananjay R. Kalbande,Wiley,Digital Forensic
