No,BookCode,BookName,BookAuthor,Publication,Domain
444,PL-050,Core Python Programming,Dr. R. Nageswara Rao,Dreamtech Publication,Computer Programming
445,PL026,Teach yourself Visual Basic 5,Nathan Gurewich,Techmedia,Computer Programming
446,SE-AT-00401,Automata Theory,Micheal Sipser,Cengage Learning,Computer Science
447,SE-AT-010,Theory of Computation,Sushil Kumar Azad,Dhanpat Rai & Co.,Computer Science
448,SE-AT-011,"Introduction to Automata Theory, Formal Languages and Computation",John E. Hopcroft & Jeffrey D. Ullman,Narosa Publishing House,Computer Science
449,SE-AT-014,"Introduction to Formal languages,Automata Theory and Computation",Kamala Krithivasan & Rama R.,Pearson,Computer Science
450,SE-AT-015,Theory of Computer Science (Automata Languages and Computation),K. L. P. Mishra & N. Chandrasekaran,Prentice Hall of India Private Limited,Computer Science
451,SE-AT-016,Introduction to Languages and the Theory of Computation,John Martin,Tata McGraw Hill Publication,Computer Science
452,SE-SP-001,Introduction to,D M Dhamdhere,Tata McGraw Hill Publication,Computer Science
453,WEST-IP-007,Web Technologies,Uttam K. Roy,Oxford Higher Education,Web Technologies
454,WSP-IP-002,Internet Technology & Application,A. Sakar,Pareen Publication,Web Technologies
455,WSP-IP-005,Understanding XHTML,D. P. Nagpal,Wheeler Publishing,Web Technologies
456,WSP-IP-006,Internet & World Wide Web How to Program,Deitel & Deitel,Pearson Education,Web Technologies
457,WSP-IP-010,Web Engineering,M.A Ansari,Techmax Publications,Web Technologies
458,WST-IP-001,Internet Technology and Applications,Abhishek Baliya & Sagar Nagda,Nandu Publication,Web Technologies
459,WST-IP-004,Programming the World Wide Web,Robert W. Sebesta,Pearson Education,Web Technologies
460,WST-IP-00702,web Technologies,Uttam K. Roy,Oxford,Web Technologies
461,WST-IP-008,The INTERNET,Christian Crumlish,bpb Publication,Web Technologies
462,WST-IP-011,"HTML,XHTML CSS and XML by Example",Teodoru Gugoiu,Firewall Media Publication,Web Technologies
463,WST-IP-012,Internet Programming,A. A. Puntambekar,Technical Publications,Web Technologies
464,WST-IP-0132,Web Programming,Tulshiram Sule,TechMax Publications,Web Technologies
465,WST-IP-014,W,Tushar R. Agarwal,TechKnowlegde Publication,Web Technologies
466,WST-IP-015,Web Services an Introduction,BV Kumar & SV Subrahmanya,Tata Mcgraw hill,Web Technologies
467,WST-IP-017,Advanced Internet Technology,Deven Shah,Dream Tech,Web Technologies
468,WST-IP-019,HTML Black Book,Steven Holzner,Dreamtech Press,Web Technologies
469,WST-01402,Web X. O,Tushar R. Agarwal,TechKnowledge Publication,Web Technologies
470,WST-PMRC-001,J2EE 1.4 Projects,Kogent Solutions Inc.,dreamtech Press,Web Technologies
